url,protocol,FQDN,RDN,mld,freeURL,domain_age,URL_length,FQDN_length,mld_length,freeURL_dots,redirection_status,domain_level,class
http://scontent-cgk1-1.cdninstagram.com/,http,scontent-cgk1-1.cdninstagram.com,cdninstagram.com,cdninstagram,"['scontent-cgk1-1', '/']",2131,40,32,12,0,0,1,0
http://bm.adentifi.com/,http,bm.adentifi.com,adentifi.com,adentifi,"['bm', '/']",3025,23,15,8,0,0,1,0
https://www.adobe.com/,https,www.adobe.com,adobe.com,adobe,"['www', '/']",12158,22,13,5,0,0,1,0
http://d1.vnecdn.net/,http,d1.vnecdn.net,vnecdn.net,vnecdn,"['d1', '/']",2675,21,13,6,0,0,1,0
http://rtb-us-west.linkedin.com/,http,rtb-us-west.linkedin.com,linkedin.com,linkedin,"['rtb-us-west', '/']",6329,32,24,8,0,0,1,0
http://pa.rxthdr.com/,http,pa.rxthdr.com,rxthdr.com,rxthdr,"['pa', '/']",1336,21,13,6,0,0,1,0
http://updatem.360safe.com/,http,updatem.360safe.com,360safe.com,360safe,"['updatem', '/']",5037,27,19,7,0,0,1,0
http://interact-messaging-connection-test.firebaseio.com/,http,interact-messaging-connection-test.firebaseio.com,firebaseio.com,firebaseio,"['interact-messaging-connection-test', '/']",2693,57,49,10,0,0,1,0
http://scontent-sjc3-1.cdninstagram.com/,http,scontent-sjc3-1.cdninstagram.com,cdninstagram.com,cdninstagram,"['scontent-sjc3-1', '/']",2131,40,32,12,0,0,1,0
http://onedriveclubproddm20018.blob.core.windows.net/,http,onedriveclubproddm20018.blob.core.windows.net,windows.net,windows,"['onedriveclubproddm20018.blob.core', '/']",8970,53,45,7,2,0,1,0
http://clients.l.google.com/,http,clients.l.google.com,google.com,google,"['clients.l', '/']",8203,28,20,6,1,0,1,0
http://maxcdn.bootstrapcdn.com/,http,maxcdn.bootstrapcdn.com,bootstrapcdn.com,bootstrapcdn,"['maxcdn', '/']",2836,31,23,12,0,0,1,0
http://m.ib.sin1.geoadnxs.com/,http,m.ib.sin1.geoadnxs.com,geoadnxs.com,geoadnxs,"['m.ib.sin1', '/']",2459,30,22,8,2,0,1,0
https://www.myfinance.com/,https,www.myfinance.com,myfinance.com,myfinance,"['www', '/']",6738,26,17,9,0,0,1,0
https://fides-pol.apple.com/,https,fides-pol.apple.com,apple.com,apple,"['fides-pol', '/']",12064,28,19,5,0,0,1,0
https://dropboxstatic.com/,https,dropboxstatic.com,dropboxstatic.com,dropboxstatic,"['', '/']",2728,26,17,13,0,0,1,0
http://scontent.fhan2-3.fna.fbcdn.net/,http,scontent.fhan2-3.fna.fbcdn.net,fbcdn.net,fbcdn,"['scontent.fhan2-3.fna', '/']",4685,38,30,5,2,0,1,0
https://www.celtra.com/,https,www.celtra.com,celtra.com,celtra,"['www', '/']",5955,23,14,6,0,0,1,0
http://scontent-hkg3-2.cdninstagram.com/,http,scontent-hkg3-2.cdninstagram.com,cdninstagram.com,cdninstagram,"['scontent-hkg3-2', '/']",2131,40,32,12,0,0,1,0
http://submit.sb.avast.com/,http,submit.sb.avast.com,avast.com,avast,"['submit.sb', '/']",8182,27,19,5,1,0,1,0
https://gsuite.google.com/,https,gsuite.google.com,google.com,google,"['gsuite', '/']",8203,26,17,6,0,0,1,0
http://scripts.mediavine.com/,http,scripts.mediavine.com,mediavine.com,mediavine,"['scripts', '/']",6605,29,21,9,0,0,1,0
